"SPECIES","SITE_ID","bms_id","M_YEAR","TOTAL_NM","SINDEX","GEO_REGION","RCLIM","M_YEAR_scaled","SINDEX_scaled","code_urban","urban_names","country_code","Country.Name","urban_type","pop_ID","urb_variable","Best_Model","urb_trend","WIn","HSI","FMo_Average","range.size","temp.mean","temp.max","temp.sd"
"Aglais io","ES-CTBMS.5","ES-CTBMS",2015,0.650880000000001,1.20300751879699,"R1","K. Warm temperate and mesic",0.530920571873172,-0.490206095764703,11,"VERY LOW DENSITY RURAL","ESP","Spain","rural","Aglais io_ES-CTBMS.5","sum_2000m","exponential",0.0184415459487279,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","ES-CTBMS.5","ES-CTBMS",2005,0.90377,11.7842412555573,"R1","K. Warm temperate and mesic",-0.905851307559584,-0.361468518006707,11,"VERY LOW DENSITY RURAL","ESP","Spain","rural","Aglais io_ES-CTBMS.5","sum_2000m","exponential",0.0184415459487279,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","ES-CTBMS.5","ES-CTBMS",2003,0.748829999999999,7.46380056724884,"R1","K. Warm temperate and mesic",-1.19320568344614,-0.414033566931731,11,"VERY LOW DENSITY RURAL","ESP","Spain","rural","Aglais io_ES-CTBMS.5","sum_2000m","exponential",0.0184415459487279,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","ES-CTBMS.5","ES-CTBMS",2014,0.8372,5.50848858090317,"R1","K. Warm temperate and mesic",0.387243383929897,-0.437823054542123,11,"VERY LOW DENSITY RURAL","ESP","Spain","rural","Aglais io_ES-CTBMS.5","sum_2000m","exponential",0.0184415459487279,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","ES-CTBMS.5","ES-CTBMS",2001,0.787260000000001,0,"R1","K. Warm temperate and mesic",-1.48056005933269,-0.504842600150438,11,"VERY LOW DENSITY RURAL","ESP","Spain","rural","Aglais io_ES-CTBMS.5","sum_2000m","exponential",0.0184415459487279,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","ES-CTBMS.5","ES-CTBMS",2002,0.73809,2.3813492724978,"R1","K. Warm temperate and mesic",-1.33688287138941,-0.475869689735268,11,"VERY LOW DENSITY RURAL","ESP","Spain","rural","Aglais io_ES-CTBMS.5","sum_2000m","exponential",0.0184415459487279,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","ES-CTBMS.5","ES-CTBMS",2010,0.99959,3.00878565411,"R1","K. Warm temperate and mesic",-0.187465367843206,-0.468235925849552,11,"VERY LOW DENSITY RURAL","ESP","Spain","rural","Aglais io_ES-CTBMS.5","sum_2000m","exponential",0.0184415459487279,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","ES-CTBMS.5","ES-CTBMS",2011,0.97345,7.14387769681383,"R1","K. Warm temperate and mesic",-0.0437881798999302,-0.417925938694213,11,"VERY LOW DENSITY RURAL","ESP","Spain","rural","Aglais io_ES-CTBMS.5","sum_2000m","exponential",0.0184415459487279,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","ES-CTBMS.5","ES-CTBMS",2018,0.723909999999999,6.40098319101814,"R1","K. Warm temperate and mesic",0.961952135702999,-0.426964434732119,11,"VERY LOW DENSITY RURAL","ESP","Spain","rural","Aglais io_ES-CTBMS.5","sum_2000m","exponential",0.0184415459487279,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","ES-CTBMS.5","ES-CTBMS",2000,0.881439999999999,7.32386113959279,"R1","K. Warm temperate and mesic",-1.62423724727596,-0.415736153170488,11,"VERY LOW DENSITY RURAL","ESP","Spain","rural","Aglais io_ES-CTBMS.5","sum_2000m","exponential",0.0184415459487279,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","ES-CTBMS.5","ES-CTBMS",2012,0.844619999999999,11.740220929612,"R1","K. Warm temperate and mesic",0.0998890080433454,-0.362004095452145,11,"VERY LOW DENSITY RURAL","ESP","Spain","rural","Aglais io_ES-CTBMS.5","sum_2000m","exponential",0.0184415459487279,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","ES-CTBMS.5","ES-CTBMS",2021,0.958330000000001,3.15776177845143,"R1","K. Warm temperate and mesic",1.39298369953283,-0.466423393788677,11,"VERY LOW DENSITY RURAL","ESP","Spain","rural","Aglais io_ES-CTBMS.5","sum_2000m","exponential",0.0184415459487279,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","ES-CTBMS.5","ES-CTBMS",2017,0.96731,2.03761436110602,"R1","K. Warm temperate and mesic",0.818274947759723,-0.480051772938827,11,"VERY LOW DENSITY RURAL","ESP","Spain","rural","Aglais io_ES-CTBMS.5","sum_2000m","exponential",0.0184415459487279,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","UKBMS.153","UKBMS",2021,0.823159999999999,0,"R3","J. Cool temperate and moist",1.39298369953283,-0.504842600150438,11,"VERY LOW DENSITY RURAL","GBR","United Kingdom of Great Britain and Northern Ireland","rural","Aglais io_UKBMS.153","sum_2000m","exponential",0.0230002576967363,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","UKBMS.153","UKBMS",2005,0.56627,32.5839035516455,"R3","J. Cool temperate and moist",-0.905851307559584,-0.108407465883823,11,"VERY LOW DENSITY RURAL","GBR","United Kingdom of Great Britain and Northern Ireland","rural","Aglais io_UKBMS.153","sum_2000m","exponential",0.0230002576967363,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","UKBMS.153","UKBMS",2014,0.7441,7.4314449206074,"R3","J. Cool temperate and moist",0.387243383929897,-0.414427224956782,11,"VERY LOW DENSITY RURAL","GBR","United Kingdom of Great Britain and Northern Ireland","rural","Aglais io_UKBMS.153","sum_2000m","exponential",0.0230002576967363,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","UKBMS.153","UKBMS",2000,0.28426,13.1847847583888,"R3","J. Cool temperate and moist",-1.62423724727596,-0.344428673449372,11,"VERY LOW DENSITY RURAL","GBR","United Kingdom of Great Britain and Northern Ireland","rural","Aglais io_UKBMS.153","sum_2000m","exponential",0.0230002576967363,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","UKBMS.153","UKBMS",2010,0.87608,2.08794421013071,"R3","J. Cool temperate and moist",-0.187465367843206,-0.479439430086041,11,"VERY LOW DENSITY RURAL","GBR","United Kingdom of Great Britain and Northern Ireland","rural","Aglais io_UKBMS.153","sum_2000m","exponential",0.0230002576967363,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","UKBMS.153","UKBMS",1997,0.30986,0,"R3","J. Cool temperate and moist",-2.05526881110579,-0.504842600150438,11,"VERY LOW DENSITY RURAL","GBR","United Kingdom of Great Britain and Northern Ireland","rural","Aglais io_UKBMS.153","sum_2000m","exponential",0.0230002576967363,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","UKBMS.153","UKBMS",1999,0.43069,6.71110912263434,"R3","J. Cool temperate and moist",-1.76791443521924,-0.423191258349339,11,"VERY LOW DENSITY RURAL","GBR","United Kingdom of Great Britain and Northern Ireland","rural","Aglais io_UKBMS.153","sum_2000m","exponential",0.0230002576967363,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","UKBMS.153","UKBMS",2004,0.80255,47.9236787553218,"R3","J. Cool temperate and moist",-1.04952849550286,0.0782253552221675,11,"VERY LOW DENSITY RURAL","GBR","United Kingdom of Great Britain and Northern Ireland","rural","Aglais io_UKBMS.153","sum_2000m","exponential",0.0230002576967363,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","UKBMS.153","UKBMS",2003,0.68378,7.00142829137144,"R3","J. Cool temperate and moist",-1.19320568344614,-0.419659062814325,11,"VERY LOW DENSITY RURAL","GBR","United Kingdom of Great Britain and Northern Ireland","rural","Aglais io_UKBMS.153","sum_2000m","exponential",0.0230002576967363,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","UKBMS.153","UKBMS",1995,0.41254,2.53517556090759,"R3","J. Cool temperate and moist",-2.34262318699234,-0.473998147696027,11,"VERY LOW DENSITY RURAL","GBR","United Kingdom of Great Britain and Northern Ireland","rural","Aglais io_UKBMS.153","sum_2000m","exponential",0.0230002576967363,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","UKBMS.153","UKBMS",2012,0.76312,1.29657962295465,"R3","J. Cool temperate and moist",0.0998890080433454,-0.489067641938366,11,"VERY LOW DENSITY RURAL","GBR","United Kingdom of Great Britain and Northern Ireland","rural","Aglais io_UKBMS.153","sum_2000m","exponential",0.0230002576967363,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","FIBMS.107","FIBMS",2002,0.54095,215.554241458902,"R4","G. Cold and mesic",-1.33688287138941,2.11771839899611,11,"VERY LOW DENSITY RURAL","FIN","Finland","rural","Aglais io_FIBMS.107","sum_2000m","exponential",0.0174458328366747,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","FIBMS.107","FIBMS",1999,0.720009999999999,5.2076823730367,"R4","G. Cold and mesic",-1.76791443521924,-0.441482841627324,11,"VERY LOW DENSITY RURAL","FIN","Finland","rural","Aglais io_FIBMS.107","sum_2000m","exponential",0.0174458328366747,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","FIBMS.107","FIBMS",2000,0.65835,94.0703256779551,"R4","G. Cold and mesic",-1.62423724727596,0.639672885280436,11,"VERY LOW DENSITY RURAL","FIN","Finland","rural","Aglais io_FIBMS.107","sum_2000m","exponential",0.0174458328366747,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","FIBMS.107","FIBMS",2009,0.63908,42.7097254177976,"R4","G. Cold and mesic",-0.331142555786481,0.0147893004184487,11,"VERY LOW DENSITY RURAL","FIN","Finland","rural","Aglais io_FIBMS.107","sum_2000m","exponential",0.0174458328366747,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","FIBMS.107","FIBMS",2003,0.488,99.1793395822799,"R4","G. Cold and mesic",-1.19320568344614,0.701832184577427,11,"VERY LOW DENSITY RURAL","FIN","Finland","rural","Aglais io_FIBMS.107","sum_2000m","exponential",0.0174458328366747,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","FIBMS.107","FIBMS",2017,0.36565,56.0328726186029,"R4","G. Cold and mesic",0.818274947759723,0.176886626818692,11,"VERY LOW DENSITY RURAL","FIN","Finland","rural","Aglais io_FIBMS.107","sum_2000m","exponential",0.0174458328366747,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","FIBMS.107","FIBMS",2013,0.49453,17.1474297908014,"R4","G. Cold and mesic",0.243566195986621,-0.296216779101431,11,"VERY LOW DENSITY RURAL","FIN","Finland","rural","Aglais io_FIBMS.107","sum_2000m","exponential",0.0174458328366747,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","FIBMS.107","FIBMS",2016,0.6203,93.4282893809054,"R4","G. Cold and mesic",0.674597759816448,0.631861490147207,11,"VERY LOW DENSITY RURAL","FIN","Finland","rural","Aglais io_FIBMS.107","sum_2000m","exponential",0.0174458328366747,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","FIBMS.107","FIBMS",2020,0.40293,9.37536622524317,"R4","G. Cold and mesic",1.24930651158955,-0.39077632314922,11,"VERY LOW DENSITY RURAL","FIN","Finland","rural","Aglais io_FIBMS.107","sum_2000m","exponential",0.0174458328366747,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","FIBMS.107","FIBMS",2021,0.60398,20.6332533013205,"R4","G. Cold and mesic",1.39298369953283,-0.253806178749879,11,"VERY LOW DENSITY RURAL","FIN","Finland","rural","Aglais io_FIBMS.107","sum_2000m","exponential",0.0174458328366747,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","FIBMS.107","FIBMS",2005,0.741359999999999,105.415565941882,"R4","G. Cold and mesic",-0.905851307559584,0.777705820474591,11,"VERY LOW DENSITY RURAL","FIN","Finland","rural","Aglais io_FIBMS.107","sum_2000m","exponential",0.0174458328366747,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","FIBMS.107","FIBMS",2018,0.63779,10.2516787123892,"R4","G. Cold and mesic",0.961952135702999,-0.380114584663817,11,"VERY LOW DENSITY RURAL","FIN","Finland","rural","Aglais io_FIBMS.107","sum_2000m","exponential",0.0174458328366747,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","FIBMS.107","FIBMS",2012,0.45041,15.281173594132,"R4","G. Cold and mesic",0.0998890080433454,-0.31892276105138,11,"VERY LOW DENSITY RURAL","FIN","Finland","rural","Aglais io_FIBMS.107","sum_2000m","exponential",0.0174458328366747,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","FIBMS.107","FIBMS",2006,0.37999,41.6204217536071,"R4","G. Cold and mesic",-0.762174119616308,0.00153618469871872,11,"VERY LOW DENSITY RURAL","FIN","Finland","rural","Aglais io_FIBMS.107","sum_2000m","exponential",0.0174458328366747,0.061,0.236,7.5,1136,8.84,17.56,2.91
